Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Wohnungen nach Baujahr (Mikrozensus-Klassen), Fläche der Wohnung (10 m²-Intervalle) und Zahl der Wohnungen im Gebäude für Flensburg, Stadt (Kreisfreie Stadt), Kiel, Landeshauptstadt (Kreisfreie Stadt) und weitere Orte ;;;;;;;;;;;;;;;;;
Auszählungsergebnis aus der Gebäude- und Wohnungszählung;;;;;;;;;;;;;;;;;
;;;010010000000 Flensburg, Stadt (Kreisfreie Stadt);010020000000 Kiel, Landeshauptstadt (Kreisfreie Stadt);010030000000 Lübeck, Hansestadt (Kreisfreie Stadt);010040000000 Neumünster, Stadt (Kreisfreie Stadt);01051 Dithmarschen (Kreis);01053 Herzogtum Lauenburg (Kreis);01054 Nordfriesland (Kreis);01055 Ostholstein (Kreis);01056 Pinneberg (Kreis);01057 Plön (Kreis);01058 Rendsburg-Eckernförde (Kreis);01059 Schleswig-Flensburg (Kreis);01060 Segeberg (Kreis);01061 Steinburg (Kreis);01062 Stormarn (Kreis)
Vor 1919;Unter 30;1 Wohnung;3;3;23;-;6;-;9;3;6;3;3;-;-;6;-
Vor 1919;Unter 30;2 Wohnungen;3;6;(22);-;13;18;(34);23;7;-;19;(9);11;9;4
Vor 1919;Unter 30;3 - 6 Wohnungen;192;119;221;50;98;(48);(111);(50);(69);41;(103);97;38;(83);38
Vor 1919;Unter 30;7 - 12 Wohnungen;(125);632;(123);(52);13;25;37;34;(9);-;(47);(49);6;9;18
Vor 1919;Unter 30;13 und mehr Wohnungen;24;231;(60);6;30;22;25;11;18;39;18;12;-;-;9
Vor 1919;30 - 39;1 Wohnung;6;4;63;3;27;6;(48);19;16;18;(11);19;9;(3);-
Vor 1919;30 - 39;2 Wohnungen;(21);(29);98;6;(44);(30);(86);(99);56;(36);72;(65);29;(40);(38)
Vor 1919;30 - 39;3 - 6 Wohnungen;587;161;739;(114);182;(190);205;202;209;(130);188;(259);103;285;110
Vor 1919;30 - 39;7 - 12 Wohnungen;402;706;420;70;14;45;48;(52);37;(26);55;(60);25;29;7
Vor 1919;30 - 39;13 und mehr Wohnungen;(115);(160);121;69;14;18;-;18;3;-;-;3;-;-;3
Vor 1919;40 - 49;1 Wohnung;24;6;231;7;64;49;94;67;(26);36;(42);58;30;101;21
Vor 1919;40 - 49;2 Wohnungen;(39);23;254;23;117;(106);(231);(158);161;88;(205);216;64;(130);70
Vor 1919;40 - 49;3 - 6 Wohnungen;631;528;1639;347;284;(301);349;399;408;245;490;377;143;507;215
Vor 1919;40 - 49;7 - 12 Wohnungen;644;4710;561;347;(30);(71);(52);87;(76);34;(100);(104);21;(49);59
Vor 1919;40 - 49;13 und mehr Wohnungen;(222);476;(117);20;18;19;-;50;3;15;16;6;3;-;3
Vor 1919;50 - 59;1 Wohnung;12;15;(259);12;154;(83);160;124;(79);67;(96);(150);54;(77);46
Vor 1919;50 - 59;2 Wohnungen;43;48;(271);(60);178;211;(237);245;278;(141);254;314;114;250;125
Vor 1919;50 - 59;3 - 6 Wohnungen;531;694;1929;272;350;374;383;503;492;289;593;456;227;451;(245)
Vor 1919;50 - 59;7 - 12 Wohnungen;886;2562;588;(294);48;58;(90);84;93;16;(113);(66);47;93;50
Vor 1919;50 - 59;13 und mehr Wohnungen;176;492;(172);27;18;24;-;(12);9;21;9;12;24;7;3
Vor 1919;60 - 69;1 Wohnung;38;29;317;16;313;(190);437;256;139;165;333;308;(125);277;(74)
Vor 1919;60 - 69;2 Wohnungen;57;57;328;(62);312;267;287;308;426;204;438;494;(187);293;(217)
Vor 1919;60 - 69;3 - 6 Wohnungen;385;489;1667;245;401;418;409;540;486;294;546;637;288;528;302
Vor 1919;60 - 69;7 - 12 Wohnungen;966;2240;625;(200);28;82;46;(79);103;31;107;100;(30);(89);29
Vor 1919;60 - 69;13 und mehr Wohnungen;151;456;(77);34;3;31;-;(24);-;-;7;9;7;3;3
Vor 1919;70 - 79;1 Wohnung;(29);72;310;(31);462;182;465;362;200;182;370;422;(129);329;(143)
Vor 1919;70 - 79;2 Wohnungen;(31);(51);270;55;(283);262;296;327;428;(245);414;497;217;350;202
Vor 1919;70 - 79;3 - 6 Wohnungen;(281);354;1161;148;(276);324;285;419;456;300;493;510;238;422;242
Vor 1919;70 - 79;7 - 12 Wohnungen;652;2063;348;131;25;55;44;65;55;31;103;76;(37);(77);28
Vor 1919;70 - 79;13 und mehr Wohnungen;(101);360;(50);20;6;25;-;19;4;3;6;13;-;3;3
Vor 1919;80 - 89;1 Wohnung;61;(86);398;70;710;312;765;496;361;(287);597;730;(285);552;217
Vor 1919;80 - 89;2 Wohnungen;38;55;278;(61);274;292;331;360;429;251;471;669;225;365;239
Vor 1919;80 - 89;3 - 6 Wohnungen;216;362;1034;178;235;(292);277;391;464;224;434;437;(192);346;213
Vor 1919;80 - 89;7 - 12 Wohnungen;475;1109;(123);99;9;(51);32;30;51;34;73;(33);16;(51);25
Vor 1919;80 - 89;13 und mehr Wohnungen;80;269;32;10;-;46;-;3;-;-;8;3;6;-;-
Vor 1919;90 - 99;1 Wohnung;63;77;382;76;594;347;675;423;379;278;537;721;221;536;174
Vor 1919;90 - 99;2 Wohnungen;(42);48;175;73;210;(225);251;239;323;(147);319;485;193;227;(204)
Vor 1919;90 - 99;3 - 6 Wohnungen;176;339;626;126;(142);226;141;223;262;159;319;(290);161;249;180
Vor 1919;90 - 99;7 - 12 Wohnungen;(292);867;(119);64;15;18;19;(16);20;17;46;24;(39);(13);19
Vor 1919;90 - 99;13 und mehr Wohnungen;35;(94);(23);-;3;3;-;6;3;3;-;-;7;3;-
Vor 1919;100 - 109;1 Wohnung;69;(88);344;90;788;398;843;414;494;320;753;964;332;644;310
Vor 1919;100 - 109;2 Wohnungen;(39);(81);149;37;294;195;297;288;300;178;403;514;192;270;205
Vor 1919;100 - 109;3 - 6 Wohnungen;(149);263;521;101;(102);(183);(133);256;(234);(118);312;289;(162);182;(160)
Vor 1919;100 - 109;7 - 12 Wohnungen;200;535;77;30;6;13;16;21;34;12;36;16;15;10;(3)
Vor 1919;100 - 109;13 und mehr Wohnungen;(19);(53);18;3;-;6;-;20;-;-;3;-;3;-;-
Vor 1919;110 - 119;1 Wohnung;42;(61);209;57;388;(283);438;229;306;207;395;466;204;382;(191)
Vor 1919;110 - 119;2 Wohnungen;15;18;(72);21;(117);99;138;131;(163);72;(158);297;(79);116;(87)
Vor 1919;110 - 119;3 - 6 Wohnungen;75;167;288;(53);(81);(62);(92);118;126;(63);130;(142);(91);(87);(60)
Vor 1919;110 - 119;7 - 12 Wohnungen;(98);232;28;9;-;7;13;14;(3);6;9;19;6;6;3
Vor 1919;110 - 119;13 und mehr Wohnungen;12;40;10;-;-;6;-;-;-;-;6;-;-;-;-
Vor 1919;120 - 129;1 Wohnung;71;(81);318;(57);871;484;916;628;490;357;802;1113;385;752;335
Vor 1919;120 - 129;2 Wohnungen;28;(38);111;29;(182);(208);204;185;247;167;343;562;(160);244;(144)
Vor 1919;120 - 129;3 - 6 Wohnungen;85;(134);222;42;98;(144);63;(127);127;110;(207);208;122;110;(120)
Vor 1919;120 - 129;7 - 12 Wohnungen;60;(173);31;6;3;12;-;15;12;6;7;10;4;9;4
